UNIT,TOTAL
R218,1179
R177,1177
R099,1177
R108,1177
R051,1177
R081,1176
R064,1175
R014,1175
R133,1175
R047,1174
R233,1174
R082,1174
R309,1173
R169,1173
R370,1173
R136,1173
R406,1172
R330,1172
R179,1171
R203,1171
R367,1171
R138,1169
R023,1168
R191,1168
R091,1168
R446,1168
R245,1167
R113,1166
R047,1166
R057,1164
R282,1164
R266,1163
R022,1163
R266,1161
R281,1161
R189,1161
R222,1160
R460,1160
R381,1159
R047,1158
R164,1157
R106,1157
R019,1156
R340,1156
R251,1156
R461,1155
R551,1154
R380,1154
R299,1153
R182,1153
R224,1153
R079,1153
R023,1152
R021,1151
R096,1149
R050,1149
R157,1148
R029,1146
R105,1145
R019,1145
R102,1145
R079,1144
R285,1144
R398,1144
R054,1143
R053,1143
R219,1143
R104,1143
R166,1142
R334,1141
R333,1139
R296,1139
R175,1139
R438,1138
R094,1136
R085,1135
R014,1135
R010,1135
R311,1135
R085,1134
R302,1133
R313,1133
R277,1133
R245,1132
R276,1131
R304,1131
R211,1131
R207,1131
R142,1130
R214,1129
R169,1129
R200,1129
R382,1127
R308,1126
R372,1125
R051,1124
R023,1123
R144,1123
R463,1122
R103,1122
R373,1122
R159,1121
R110,1121
R047,1119
R109,1119
R143,1118
R262,1118
R020,1117
R174,1116
R204,1115
R020,1113
R014,1113
R100,1112
R013,1112
R020,1110
R161,1110
R347,1110
R030,1109
R017,1108
R186,1107
R126,1107
R212,1105
R057,1105
R015,1104
R255,1104
R018,1103
R347,1103
R551,1103
R144,1102
R083,1101
R111,1101
R195,1101
R276,1101
R039,1100
R167,1099
R014,1098
R460,1098
R085,1096
R407,1096
R049,1095
R121,1094
R176,1094
R059,1093
R552,1093
R318,1093
R294,1093
R021,1092
R085,1092
R399,1092
R217,1091
R080,1090
R082,1090
R030,1088
R021,1087
R237,1087
R386,1085
R453,1084
R146,1082
R012,1081
R042,1080
R175,1080
R409,1080
R281,1080
R135,1080
R442,1079
R061,1078
R105,1077
R370,1076
R111,1076
R211,1075
R200,1074
R461,1073
R028,1072
R549,1072
R020,1072
R211,1072
R324,1072
R210,1071
R173,1071
R159,1071
R143,1070
R153,1070
R453,1069
R233,1069
R093,1068
R141,1067
R183,1067
R266,1066
R219,1064
R209,1064
R550,1063
R213,1061
R257,1061
R029,1061
R179,1060
R194,1060
R202,1060
R157,1058
R163,1058
R434,1057
R336,1055
R040,1055
R032,1055
R451,1054
R160,1052
R324,1052
R212,1051
R160,1050
R347,1050
R013,1050
R068,1050
R013,1049
R037,1048
R330,1047
R090,1046
R108,1045
R102,1045
R371,1044
R020,1043
R222,1043
R335,1042
R277,1042
R370,1042
R156,1041
R461,1041
R285,1041
R441,1040
R207,1040
R550,1040
R106,1040
R196,1038
R327,1038
R113,1038
R283,1037
R164,1035
R276,1035
R182,1034
R014,1034
R428,1033
